station_name,station_id,state
Moree Post Office,53027,NSW
Moruya Airport Aws,69148,NSW
Moruya Heads Pilot Station,69018,NSW
Moss Vale (Hoskins Street),68045,NSW
Moss Vale Aws,68239,NSW
Moulamein Post Office,75046,NSW
Mount Boyce Aws,63292,NSW
Mount Hope (Cypress Grove),49032,NSW
Mount Topper State Forest,56021,NSW
Mount Victoria (Mt Victoria (Selsdon Str,63056,NSW
Mudgee (George Street),62021,NSW
Mudgee Airport Aws,62101,NSW
Mullion Creek (Mullion Range Forest),63058,NSW
Mungindi Post Office,52020,NSW
Murraguldrie State Forest 1,72035,NSW
Murrurundi Gap Aws,61392,NSW
Murrurundi Post Office,61051,NSW
Murwillumbah (Bray Park),58158,NSW
Muswellbrook (Lower Hill St),61053,NSW
Nalbaugh State Forest,69021,NSW
Namadgi National Park (Glendale Crossing,70312,NSW
Naradhan (Uralba),75050,NSW
Narooma (Marine Rescue),69022,NSW
Narrabri Airport Aws,54038,NSW
Narrabri West Post Office,53030,NSW
Narrandera Airport Aws,74148,NSW
Narrandera Golf Club,74221,NSW
Narrandera Post Office,74082,NSW
Narrandera State Forest,74083,NSW
Narromine Airport,51115,NSW
Nelson Bay (Nelson Head),61054,NSW
Nerriga Composite,69049,NSW
Newcastle Nobbys Signal Station Aws,61055,NSW
Newcastle University,61390,NSW
Nimmitabel Wastewater Treatment Facility,70067,NSW
Norah Head Aws,61366,NSW
Norah Head Lighthouse,61273,NSW
Nowra Ran Air Station,68076,NSW
Nowra Ran Air Station Aws,68072,NSW
station_name,station_id,state
Adavale Post Office,45000,QLD
Alva Beach,33295,QLD
Amberley Amo,40004,QLD
Applethorpe,41175,QLD
Archerfield Airport,40211,QLD
Atherton,31193,QLD
Ayr Dpi Research Stn,33002,QLD
Ballera Gas Field,45009,QLD
Baralaba Post Office,39004,QLD
Barcaldine Post Office,36007,QLD
Baroon Pocket Dam,40850,QLD
Beaudesert Cryna,40014,QLD
Bedourie,38000,QLD
Beerburrum Forest Station,40284,QLD
Biloela Dpi,39006,QLD
Birdsville Airport,38026,QLD
Birdsville Police Station,38002,QLD
Blackall Airport,36034,QLD
Blackall Township,36143,QLD
Blackwater Water Treatment Plant,35290,QLD
Bollon Mary St,44010,QLD
Bottom Of Pin Gin Hill,32061,QLD
Boulia Airport,38003,QLD
Bowen Airport,33257,QLD
Bowen Post Office,33007,QLD
Brian Pastures,40428,QLD
Brigalow Research Stn,35149,QLD
Brisbane,40913,QLD
Brisbane Aero,40223,QLD
Brisbane Aero,40842,QLD
Brisbane Regional Office,40214,QLD
Bulburin Forestry,39014,QLD
Bundaberg Aero,39128,QLD
Bundaberg Post Office,39015,QLD
Burdekin Shire Council,33001,QLD
Burketown Airport,29077,QLD
Burketown Post Office,29004,QLD
Bustard Head Lighthouse,39018,QLD
Cairns Aero,31011,QLD
Cairns Post Office,31010,QLD
Caloundra Signal Station,40040,QLD
Cambooya Post Office,41011,QLD
Camooweal Township,37010,QLD
Canungra Land Warfare Centre,40852,QLD
Cape Capricorn Lighthouse,39023,QLD
Cape Cleveland Lighthouse,32005,QLD
Cape Flattery,31213,QLD
Cape Moreton Lighthouse,40043,QLD
Cardwell Marine Pde,32004,QLD
Century Mine,29167,QLD
Charleville Aero,44021,QLD
Charleville Post Office,44022,QLD
Charters Towers Airport Comparison,34084,QLD
Charters Towers Post Office,34002,QLD
Childers Post Office,39025,QLD
Clermont Post Office,35019,QLD
Cloncurry Aero,29009,QLD
Cloncurry Airport,29141,QLD
Cloncurry Mcillwraith St,29008,QLD
Coen Airport,27073,QLD
Coen Airport Evap,27006,QLD
Coen Post Office,27005,QLD
Collinsville Post Office,33013,QLD
Como,40057,QLD
Cooktown Airport,31209,QLD
Cooktown Mission Strip,31017,QLD
Cooktown Post Office,31016,QLD
Coolangatta,40717,QLD
Coolangatta Aero,40288,QLD
Coolangatta Bowls Comp,40052,QLD
Coolum Bowls Club,40420,QLD
Crohamhurst,40062,QLD
Croydon Township,29012,QLD
Cunnamulla Post Office,44026,QLD
Dalby Airport,41522,QLD
Dalby Post Office,41023,QLD
Double Island Point Lighthouse,40068,QLD
Emerald Airport,35264,QLD
Emerald Post Office,35027,QLD
Gatton Daff Research Stn,40436,QLD
Gayndah Airport,39066,QLD
Gayndah Post Office,39039,QLD
Georgetown Post Office,30018,QLD
Gladstone Airport,39326,QLD
Gladstone Radar,39123,QLD
